E_1 / keV,n_1,Cs_137,Am-241,Co_57
3237.9,988,0,0,0
3241.2,989,0,0,0
3244.5,990,0,0,0
3247.7,991,0,0,0
3251,992,0,0,0
3254.3,993,0,0,0
3257.6,994,0,0,1
3260.8,995,0,0,0
3264.1,996,0,0,0
3267.4,997,0,0,0
3270.7,998,0,0,0
3274,999,0,0,0
3277.2,1000,0,0,0
3280.5,1001,0,0,0
3283.8,1002,0,0,0
3287.1,1003,0,0,0
3290.3,1004,0,0,0
3293.6,1005,0,0,0
3296.9,1006,0,0,0
3300.2,1007,0,0,0
3303.4,1008,0,0,0
3306.7,1009,0,0,0
3310,1010,0,0,0
3313.3,1011,0,0,0
3316.6,1012,0,0,0
3319.8,1013,0,0,0
3323.1,1014,0,0,0
3326.4,1015,0,0,0
3329.7,1016,0,0,0
3332.9,1017,0,0,0
3336.2,1018,0,0,0
3339.5,1019,0,0,0
3342.8,1020,0,0,0
3346,1021,0,0,0
3349.3,1022,0,0,0
3352.6,1023,0,1,0
3355.9,1024,0,0,0
3359.2,1025,0,0,0
3362.4,1026,0,0,0
3365.7,1027,0,0,0
3369,1028,0,0,0
3372.3,1029,0,0,0
3375.5,1030,0,0,0
3378.8,1031,0,0,0
3382.1,1032,0,0,0
3385.4,1033,0,0,0
3388.7,1034,0,0,0
3391.9,1035,0,0,0
3395.2,1036,0,0,0
3398.5,1037,0,0,0
3401.8,1038,0,0,2
3405,1039,0,0,0
3408.3,1040,0,0,0
3411.6,1041,0,0,0
3414.9,1042,0,0,0
3418.1,1043,0,0,0
3421.4,1044,0,0,0
3424.7,1045,0,0,0
3428,1046,0,0,0
3431.3,1047,0,0,1
3434.5,1048,0,0,0
3437.8,1049,0,0,0
3441.1,1050,0,0,0
3444.4,1051,0,0,0
3447.6,1052,0,0,0
3450.9,1053,0,0,0
3454.2,1054,0,1,0
3457.5,1055,0,0,0
3460.8,1056,0,0,0
3464,1057,0,0,0
3467.3,1058,0,0,0
3470.6,1059,0,0,0
3473.9,1060,0,0,0
3477.1,1061,0,0,0
3480.4,1062,0,0,0
3483.7,1063,0,0,0
3487,1064,0,0,0
