E_1 / keV,Cu Plate,Mo Source,Ag Plate,Zr Plate,Zn Plate,Ni Plate,Fe Plate,FeCr Alloy Plate,Tin Maybe Plate,Titanium Plate,Cu Maybe,Tin Maybe Plate,Mo Plate
25.25,0,169,2,0,0,1,0,0,7,0,0,25,0
25.35,0,144,6,0,0,0,0,0,21,0,1,38,0
25.45,0,186,2,0,0,0,0,1,4,0,1,38,0
25.54,0,175,3,0,0,0,0,0,9,0,0,21,0
25.64,0,155,2,0,0,0,0,0,1,0,1,10,0
25.74,0,154,0,0,0,0,0,0,3,0,1,7,0
25.84,0,154,0,0,0,0,0,0,0,0,0,1,1
25.94,0,157,2,0,0,0,0,0,0,0,0,0,0
26.04,0,138,0,0,0,0,0,0,0,0,1,0,1
26.13,0,129,0,0,0,0,0,0,1,0,0,1,0
26.23,0,136,0,0,0,0,0,0,0,1,1,3,0
26.33,0,148,0,0,0,0,0,0,0,0,0,4,0
26.43,0,137,0,0,0,0,0,0,2,0,0,2,0
26.53,0,158,0,0,0,0,0,0,0,1,1,2,0
26.63,0,127,0,0,0,0,0,0,0,0,1,0,0
26.72,0,121,0,0,0,1,0,0,0,0,1,2,1
26.82,0,117,0,0,1,0,1,0,1,0,0,2,0
26.92,0,118,0,0,0,0,0,0,0,0,0,0,0
27.02,0,149,0,0,0,0,0,0,0,0,1,0,0
27.12,0,129,0,1,0,1,0,0,2,0,1,1,0
27.21,0,122,0,0,0,0,0,0,0,0,1,0,0
27.31,0,126,0,0,0,0,0,0,0,0,0,2,0
27.41,0,115,0,0,0,1,0,0,1,0,1,0,0
27.51,0,110,0,0,0,0,1,0,0,0,1,0,0
27.61,0,105,0,0,0,0,0,0,0,0,0,0,0
27.71,0,106,0,0,0,0,0,0,0,0,0,0,0
27.8,0,94,0,0,0,0,0,0,0,0,1,1,0
27.9,0,102,0,0,0,0,1,0,1,0,0,1,0
28,0,102,0,0,0,0,0,1,0,0,0,1,0
28.1,0,107,0,0,0,0,0,0,0,0,0,3,0
28.2,0,85,0,0,1,0,0,0,3,0,1,2,0
28.3,0,110,0,0,0,0,0,0,5,0,1,4,0
28.4,0,104,0,0,0,0,0,0,0,0,0,5,0
28.49,0,76,0,0,0,0,0,0,1,0,0,6,0
28.59,0,90,1,0,0,0,0,0,4,0,1,3,0
28.69,0,101,0,0,0,0,0,0,0,0,0,2,0
28.79,0,80,0,0,0,0,0,0,0,0,1,2,0
28.89,0,77,0,0,0,0,0,0,1,0,0,0,0
28.99,0,82,0,0,0,0,0,0,0,0,0,2,0
29.08,0,78,0,0,0,0,0,0,0,0,0,1,0
29.18,0,71,0,0,0,0,0,0,0,0,0,1,0
29.28,0,61,0,0,0,0,0,0,0,0,0,1,0
29.38,0,64,0,0,0,0,1,0,0,0,0,0,0
29.48,0,82,0,0,0,0,0,0,0,0,0,0,0
29.58,0,82,0,0,0,0,0,0,0,0,0,0,0
29.67,0,64,0,0,0,0,0,0,0,0,0,0,0
29.77,0,70,0,0,0,0,0,1,0,0,1,0,0
29.87,0,58,0,0,0,0,0,0,0,0,0,0,0
29.97,0,59,0,0,0,0,0,0,0,0,0,0,0
30.07,0,54,0,0,0,0,0,0,0,0,0,0,0
30.17,0,65,0,0,0,0,0,0,0,0,0,0,0
30.26,0,72,0,0,0,0,0,0,0,0,0,0,0
30.36,0,61,0,0,0,0,0,0,0,0,0,0,0
30.46,0,65,0,0,0,0,0,0,0,1,0,0,0
30.56,0,47,0,1,0,0,0,0,0,0,0,0,0
30.66,0,54,0,0,0,0,0,0,0,0,0,0,0
30.76,0,59,0,0,0,1,0,0,0,0,0,0,0
30.85,0,56,0,0,0,0,0,0,0,0,0,0,0
30.95,0,49,0,0,0,0,0,0,0,0,0,0,1
31.05,0,45,0,0,0,0,0,0,1,0,0,0,0
31.15,0,40,0,0,0,0,0,0,0,0,0,0,0
31.25,0,47,0,0,0,0,0,0,0,0,0,0,0
31.35,0,45,0,0,0,0,0,0,0,0,0,0,0
31.44,0,52,0,0,0,0,0,0,0,0,0,0,0
31.54,0,38,0,0,0,0,0,0,0,0,0,0,0
31.64,0,39,0,0,0,0,0,0,0,0,1,0,0
31.74,0,50,0,0,0,0,0,0,0,0,0,0,0
31.84,0,35,0,0,0,0,0,0,0,0,0,0,0
31.94,0,36,0,0,0,0,0,0,0,0,0,0,0
