E_1 / keV,Cu Cal,Mo Cal,Mo Filter,Pure Mo Cal,Mo Pure with Zr Filter,Mo plate with Zr Filter,Cu Filter straight through,Brass with Copper Filter,Brass no filter,Al Filter Mo straight through
21.91,0,357,82,549,134,0,215,0,0,389
22,0,333,88,547,172,0,208,0,0,450
22.1,0,353,93,525,169,1,213,0,1,440
22.2,0,324,95,555,174,0,251,0,0,411
22.3,0,339,82,536,139,0,294,0,0,395
22.4,0,325,96,516,129,0,241,0,0,392
22.5,0,292,88,451,140,0,228,0,1,365
22.59,0,286,81,472,113,0,198,0,0,353
22.69,0,256,80,484,108,0,195,0,0,347
22.79,0,248,87,455,113,0,166,0,1,364
22.89,0,264,93,435,113,0,149,0,0,337
22.99,0,225,72,422,104,0,179,0,1,317
23.09,0,230,79,459,98,0,186,0,0,343
23.18,0,243,82,455,117,0,173,0,0,360
23.28,0,246,86,422,131,0,161,0,0,332
23.38,0,229,77,421,93,0,162,0,0,312
23.48,0,218,57,410,100,0,188,0,0,296
23.58,0,230,85,447,108,0,162,0,0,293
23.68,0,200,80,422,97,0,155,0,0,261
23.77,0,190,74,387,109,0,159,0,0,316
23.87,0,192,80,424,101,0,165,0,0,310
23.97,0,227,79,420,101,1,151,0,0,310
24.07,0,206,81,414,100,0,199,0,0,286
24.17,0,198,84,363,128,0,153,0,0,280
24.27,0,190,93,384,110,0,162,0,0,272
24.36,0,191,77,391,82,0,144,0,0,270
24.46,0,178,75,391,110,0,158,0,0,257
24.56,0,205,76,350,96,0,158,0,0,245
24.66,0,192,70,389,98,0,155,0,0,280
24.76,0,190,69,378,118,0,183,0,0,283
24.86,0,212,83,315,118,0,178,0,0,274
24.95,0,163,84,314,113,0,155,0,0,251
25.05,0,167,76,314,117,0,164,0,0,241
25.15,0,187,98,358,106,0,167,0,0,210
25.25,0,169,83,333,105,0,139,0,0,218
25.35,0,144,80,340,110,0,149,0,0,232
25.45,0,186,87,353,110,0,140,0,0,219
25.54,0,175,86,333,107,0,145,0,0,199
25.64,0,155,96,323,102,0,157,0,0,227
25.74,0,154,92,287,89,1,139,0,0,197
25.84,0,154,93,350,106,0,155,1,0,189
25.94,0,157,100,284,97,0,130,0,0,190
26.04,0,138,111,302,100,0,153,1,0,220
26.13,0,129,95,282,109,0,128,0,0,230
26.23,0,136,111,324,87,0,137,0,0,222
26.33,0,148,114,292,89,0,140,0,0,203
26.43,0,137,109,299,107,0,147,0,0,219
26.53,0,158,101,264,112,0,137,0,0,191
26.63,0,127,134,228,108,0,133,0,0,169
26.72,0,121,129,300,103,0,130,0,0,195
26.82,0,117,103,266,94,0,133,0,0,170
26.92,0,118,105,258,94,0,124,1,0,178
27.02,0,149,125,213,82,0,115,0,0,186
27.12,0,129,87,271,93,0,124,0,0,208
27.21,0,122,112,236,68,0,120,0,0,159
27.31,0,126,87,236,104,0,122,0,0,162
27.41,0,115,76,242,90,0,115,0,0,149
27.51,0,110,86,246,82,0,110,0,0,151
27.61,0,105,110,242,84,0,111,0,0,134
27.71,0,106,91,216,80,0,105,0,0,164
27.8,0,94,89,227,76,0,116,0,0,128
27.9,0,102,105,206,74,0,125,0,0,170
28,0,102,102,212,69,0,124,0,0,159
28.1,0,107,119,234,57,0,97,0,0,129
28.2,0,85,98,212,71,0,97,0,0,135
28.3,0,110,109,221,89,0,88,0,0,143
28.4,0,104,94,201,61,0,91,0,0,123
28.49,0,76,85,194,62,0,101,0,0,122
28.59,0,90,98,192,60,0,91,0,0,125
28.69,0,101,103,168,75,0,95,0,0,141
28.79,0,80,106,146,62,0,86,0,0,126
28.89,0,77,101,169,77,0,76,0,0,118
28.99,0,82,83,182,67,0,99,0,0,132
29.08,0,78,98,164,59,1,100,0,0,109
29.18,0,71,89,186,68,0,79,0,0,89
29.28,0,61,71,140,64,0,79,0,0,92
29.38,0,64,69,152,48,0,84,0,0,107
29.48,0,82,84,156,53,1,71,0,0,111
29.58,0,82,64,144,54,0,94,0,0,75
29.67,0,64,59,140,51,0,78,0,0,99
29.77,0,70,65,135,39,0,71,0,0,93
29.87,0,58,62,139,58,0,75,0,0,88
29.97,0,59,77,131,55,0,64,0,0,100
30.07,0,54,58,142,49,0,67,0,0,93
30.17,0,65,72,142,44,0,73,0,0,89
30.26,0,72,60,115,50,0,70,0,0,81
30.36,0,61,53,139,45,0,77,0,0,87
30.46,0,65,56,96,44,0,67,0,0,79
30.56,0,47,48,123,33,0,46,1,0,86
30.66,0,54,53,117,33,0,47,0,0,70
30.76,0,59,55,120,57,0,52,0,0,90
30.85,0,56,62,120,41,0,59,0,0,90
30.95,0,49,40,96,42,0,43,0,0,61
31.05,0,45,54,134,52,0,46,0,0,84
31.15,0,40,44,121,36,0,66,0,0,62
31.25,0,47,50,114,34,0,59,0,0,56
31.35,0,45,48,108,33,0,42,0,0,70
31.44,0,52,48,86,38,0,63,0,0,53
31.54,0,38,50,85,30,0,52,0,0,63
31.64,0,39,45,87,36,0,56,0,0,59
31.74,0,50,43,92,32,0,43,0,0,54
31.84,0,35,49,94,26,0,50,0,0,62
31.94,0,36,39,76,34,0,35,0,0,47
32.03,0,40,29,80,36,0,31,0,0,52
32.13,0,34,46,94,29,1,33,0,0,44
32.23,0,29,35,103,30,0,36,0,0,37
32.33,0,26,46,79,27,0,29,0,0,39
32.43,0,32,50,76,23,0,36,0,0,43
32.52,0,24,22,86,26,0,36,0,0,50
32.62,0,27,28,60,21,0,33,0,0,59
32.72,0,25,36,64,18,0,35,0,0,41
32.82,0,34,28,82,21,0,10,0,0,29
32.92,0,27,28,56,16,0,21,0,0,36
33.02,0,23,37,63,26,0,27,0,0,35
33.12,0,25,39,58,16,0,18,1,0,30
33.21,0,23,35,58,20,0,23,0,0,26
33.31,0,22,29,57,12,0,20,0,0,32
33.41,0,23,25,76,13,0,10,0,0,25
33.51,0,17,33,62,18,0,7,0,0,33
33.61,0,20,28,59,9,0,12,0,0,30
33.7,1,15,28,50,18,0,8,0,0,31
33.8,0,19,23,49,21,0,7,0,0,27
33.9,0,10,22,53,14,0,7,0,0,25
34,0,20,26,44,14,0,7,0,0,25
34.1,0,14,15,37,4,1,7,1,0,25
34.2,0,22,22,48,4,0,6,0,0,18
34.3,0,17,20,39,6,0,2,0,0,16
34.39,0,13,28,53,3,0,3,0,0,12
34.49,0,12,15,39,8,0,2,0,0,21
34.59,0,10,22,38,2,0,3,0,0,14
34.69,0,5,16,56,4,0,1,0,0,19
34.79,0,14,22,41,3,0,1,0,0,16
34.89,0,9,14,33,5,1,1,0,0,16
34.98,0,14,10,43,3,1,1,0,0,17
35.08,0,12,17,35,6,0,2,0,0,12
35.18,0,5,22,34,6,0,1,0,0,22
35.28,0,10,15,31,1,0,5,0,0,10
35.38,0,13,20,38,8,0,1,0,0,15
35.48,0,13,17,43,2,0,2,0,0,18
35.57,0,9,21,35,3,0,1,0,0,16
35.67,0,9,11,32,3,0,1,0,0,15
35.77,0,7,16,33,6,0,4,0,0,11
35.87,0,12,18,38,6,0,1,0,0,11
35.97,0,12,17,38,5,0,0,0,0,15
36.07,0,12,15,26,3,0,1,0,0,23
36.16,0,8,12,26,4,0,3,0,0,10
36.26,0,6,10,30,4,0,3,0,0,8
36.36,0,10,7,29,2,0,4,0,0,16
36.46,0,8,7,25,6,0,3,0,0,17
36.56,0,11,5,28,3,0,2,0,0,11
36.66,0,7,10,27,1,0,3,0,0,12
36.75,0,5,7,25,6,0,0,0,0,13
36.85,0,9,6,27,2,0,2,0,0,11
36.95,0,11,6,21,7,0,3,0,0,14
37.05,0,8,8,25,3,0,0,0,0,12
37.15,0,14,5,16,3,0,4,0,0,9
37.25,0,5,2,29,3,0,2,0,0,10
37.34,0,9,4,22,1,0,2,0,0,10
37.44,0,13,9,28,5,0,2,0,0,9
37.54,0,9,7,25,6,0,1,0,0,15
37.64,0,5,5,21,1,0,0,0,0,12
37.74,0,5,3,17,4,0,0,0,0,12
37.84,0,10,2,28,3,0,2,0,0,9
37.93,0,5,2,23,2,0,1,0,0,9
38.03,0,7,7,16,4,0,1,0,0,8
38.13,0,2,1,24,0,0,2,0,0,6
38.23,0,6,7,20,3,0,0,0,0,9
38.33,0,2,4,14,2,0,1,0,0,14
38.43,0,5,3,20,3,0,1,0,0,6
38.52,0,6,5,21,3,0,1,0,0,4
38.62,0,5,2,20,3,0,0,0,0,12
38.72,0,5,5,13,1,0,2,0,0,6
38.82,0,5,4,14,3,0,0,0,0,5
38.92,0,6,6,22,4,0,2,0,0,6
39.02,0,8,4,13,5,0,4,0,0,4
39.11,0,7,2,17,3,0,2,0,0,11
39.21,0,6,4,14,1,0,2,0,0,6
39.31,0,2,3,18,3,0,2,0,0,4
39.41,0,5,1,10,2,0,1,0,0,5
39.51,0,0,0,10,2,0,1,0,0,4
39.61,0,3,1,29,5,0,1,0,0,5
39.7,0,6,3,8,3,0,3,0,0,7
39.8,0,4,2,16,3,0,2,0,0,4
39.9,0,1,7,11,1,0,0,0,0,9
40,0,6,2,7,2,0,1,0,0,9
40.1,0,1,7,19,0,0,0,0,0,7
40.2,0,3,2,19,0,0,0,0,0,9
40.29,0,1,3,11,1,0,1,0,0,5
40.39,0,5,6,16,3,0,1,0,0,7
40.49,0,5,5,8,4,0,0,0,0,4
40.59,0,4,4,11,3,0,1,0,0,7
40.69,0,2,1,8,1,0,1,0,0,7
40.79,0,3,4,12,0,0,3,0,0,5
40.88,0,4,3,17,1,0,1,0,0,3
40.98,0,3,5,4,0,0,2,0,0,12
41.08,0,1,0,7,0,0,3,0,0,5
41.18,0,6,5,10,1,0,3,0,0,4
41.28,0,3,2,13,1,0,2,0,0,5
41.38,0,3,1,11,3,0,1,0,0,9
41.47,0,5,4,7,4,0,1,0,0,5
41.57,0,2,3,7,1,0,0,0,0,2
41.67,0,4,5,7,1,0,0,0,0,3
41.77,0,0,7,9,2,0,0,0,0,5
41.87,0,2,2,10,2,0,1,0,0,4
41.97,0,2,3,8,0,0,1,0,0,3
42.06,0,2,1,10,0,0,0,0,0,2
42.16,0,3,3,9,0,0,0,0,0,6
42.26,0,0,2,11,0,0,0,0,0,7
42.36,0,1,0,7,0,0,0,0,0,1
42.46,0,3,2,10,0,0,2,0,0,2
42.55,0,1,3,10,2,0,0,0,0,3
42.65,0,1,2,6,0,0,0,0,0,6
42.75,0,2,2,10,1,0,1,0,0,5
42.85,0,4,1,6,2,0,2,0,0,3
42.95,0,3,3,9,0,0,2,0,0,1
43.05,0,1,1,11,0,0,1,0,0,1
43.15,0,2,2,8,1,0,0,0,0,3
43.24,0,2,1,3,1,0,3,0,0,3
43.34,0,3,3,8,1,0,2,0,0,1
43.44,0,1,1,4,1,0,1,0,0,3
43.54,0,0,1,8,0,0,0,0,0,1
43.64,0,1,1,2,1,0,2,0,0,4
43.73,0,2,3,8,1,0,0,0,0,5
43.83,0,0,4,5,1,0,0,0,0,0
43.93,0,3,1,3,4,0,0,0,0,2
44.03,0,1,0,4,0,0,2,0,0,2
44.13,0,4,1,6,2,0,0,0,0,1
44.23,0,1,0,2,2,0,0,0,0,4
44.33,0,1,2,4,1,1,0,0,0,5
44.42,0,1,4,8,0,0,0,0,0,1
44.52,0,1,1,3,1,0,2,0,0,5
44.62,0,1,0,6,1,0,0,0,0,3
44.72,0,3,4,6,1,0,0,0,0,0
44.82,0,1,1,2,0,0,0,0,0,1
44.92,0,0,0,5,1,0,0,0,0,1
45.01,0,0,4,4,0,0,0,0,0,2
45.11,0,0,0,3,0,0,0,0,0,1
45.21,0,0,2,6,1,0,1,0,0,2
45.31,0,1,0,5,0,0,1,0,0,1
45.41,0,1,2,5,0,0,2,0,0,3
45.51,0,0,0,5,0,0,1,0,0,2
45.6,0,0,1,5,0,0,1,0,0,0
45.7,0,0,0,2,1,0,0,0,0,2
45.8,0,0,0,3,0,0,0,0,0,1
45.9,0,2,0,5,1,0,0,0,0,1
46,0,1,2,6,0,0,0,0,0,1
46.1,0,1,1,2,1,0,1,0,0,1
46.19,0,2,0,2,1,0,0,0,0,2
46.29,0,0,1,0,1,0,0,0,0,0
46.39,0,2,0,1,0,0,0,0,0,1
46.49,0,1,1,1,0,0,0,0,0,4
46.59,0,1,0,7,0,0,0,0,0,2
46.69,0,1,2,3,1,0,0,0,0,2
46.78,0,1,0,1,0,0,0,0,0,2
46.88,0,1,0,2,1,0,0,0,0,3
46.98,0,0,2,0,0,0,0,0,0,0
47.08,0,0,0,2,0,0,0,0,0,0
47.18,0,1,1,3,0,0,0,0,0,1
47.28,0,0,1,2,0,1,0,0,0,1
47.37,0,1,0,3,0,0,0,0,0,0
47.47,0,1,1,5,0,0,0,0,0,0
47.57,0,1,0,1,0,0,0,0,0,1
47.67,0,0,0,2,0,0,0,0,0,0
47.77,0,0,0,0,1,0,0,0,0,1
47.87,0,0,1,1,0,0,0,0,0,2
47.96,0,0,1,2,0,0,0,0,0,3
48.06,0,0,1,0,0,0,0,0,0,1
48.16,0,0,0,1,0,0,0,0,0,0
48.26,0,1,0,4,0,0,0,0,0,1
48.36,0,0,2,4,0,0,0,0,0,2
48.46,0,0,0,2,1,0,1,0,0,1
48.55,0,1,0,1,0,0,0,0,0,1
48.65,0,1,1,2,1,0,1,0,0,0
48.75,0,0,0,0,0,0,0,0,0,0
48.85,0,0,0,2,0,0,0,0,0,0
48.95,0,0,1,2,0,0,0,0,0,1
49.05,0,0,0,2,0,0,0,0,0,1
49.14,0,0,1,2,1,0,0,0,0,0
49.24,0,0,2,2,0,0,0,0,0,0
49.34,0,0,0,1,1,0,0,0,0,0
49.44,0,0,0,1,0,0,0,0,0,0
49.54,0,0,0,1,0,0,0,0,0,0
49.64,0,0,1,1,0,0,0,0,0,1
49.73,0,1,0,1,0,0,1,0,0,0
49.83,0,2,3,7,1,0,2,0,1,5
12650.36,542,87364,113343,152995,70767,1732,32251,773,5270,90424
