E_1 / keV,N_1,N_2,N_3,N_4,N_5,N_6,N_7,N_8,N_9,N_10,N_11
11.55,1671,6,35,164,250,16,18,50,108,75,501
11.6,1687,0,36,146,225,15,23,47,100,86,428
11.65,1624,3,30,119,197,7,20,33,93,86,327
11.7,1638,3,24,103,165,8,21,33,80,62,293
11.75,1625,3,21,108,158,9,19,41,87,59,270
11.8,1684,8,12,108,169,13,16,31,78,67,215
11.85,1650,8,16,83,163,14,21,36,85,52,175
11.9,1696,4,13,96,147,12,13,23,85,59,174
11.95,1752,5,14,111,160,6,19,37,102,44,159
12,1814,12,10,99,161,5,17,34,94,55,136
12.05,1763,10,6,112,152,10,24,23,98,56,138
12.1,1694,8,7,129,138,6,20,32,99,57,123
12.16,1734,7,7,123,141,6,23,22,71,38,124
12.21,1732,9,5,112,153,15,30,30,87,53,119
12.26,1666,12,8,97,149,10,28,25,85,64,140
12.31,1665,10,13,140,157,10,22,27,101,53,131
12.36,1616,6,7,110,141,13,24,14,87,42,127
12.41,1469,8,19,99,136,10,22,13,78,36,119
12.46,1513,11,11,102,119,17,41,18,77,43,140
12.51,1552,8,8,94,126,13,22,16,69,42,142
12.56,1520,7,13,100,127,15,18,13,70,55,140
12.61,1503,8,19,101,140,13,29,14,67,63,152
12.66,1490,5,8,89,133,9,26,22,74,47,164
12.71,1513,2,9,88,139,11,25,22,81,53,152
12.76,1555,3,11,95,140,22,19,17,73,49,184
12.81,1564,5,6,106,134,25,18,10,72,38,152
12.87,1477,3,12,92,127,27,20,11,59,52,144
12.92,1542,6,16,91,132,33,15,8,61,60,170
12.97,1564,4,18,78,147,39,8,9,59,57,141
13.02,1508,6,15,87,150,41,6,7,63,58,144
13.07,1491,3,14,87,148,37,15,21,70,58,146
13.12,1495,5,13,85,136,44,9,15,43,59,133
13.17,1438,7,17,81,134,48,13,10,57,60,127
13.22,1446,3,10,105,140,50,9,7,69,48,127
13.27,1438,1,13,97,164,37,4,11,52,64,109
13.32,1420,3,14,91,127,41,4,8,65,53,111
13.37,1451,6,8,91,156,39,11,11,46,59,129
13.42,1438,2,20,96,169,35,7,12,58,47,129
13.47,1374,2,26,94,156,31,5,9,56,62,116
13.52,1292,1,21,88,160,43,5,7,57,62,146
13.58,1403,3,15,91,182,27,6,16,52,67,152
13.63,1398,7,9,92,154,25,3,12,50,67,168
13.68,1426,5,12,85,172,22,2,11,50,43,165
