E_1 / keV,Mo plate cal,Cu straight through calibrate,Unknown - Tungsten (W),Unknown - Ti,Pb, In +  plastic,Tin/Copper,Fe Alloy,Iron Zinc,Pure Iron,Gold (Ganel’s pendant),Iron Nickel,Gold (Ganel’s chain),Nickel (Tulsi’s Ring),inconclusive (Ben’s Ring),Manganin (Cu Mn Ni),Iron (with possible mixing),Stainless steel ,Solder (tin),Nickel-Brass (Ganel’s Key),50 Florint ,10 peso (Copper Zinc),Israel (Copper Zinc Nickel),HK Dollar,5 Euro Cent (primarily copper),Indium,Pure Iron,Pure Nickel
5.89,5,31,22,0,21,3,1,8,67,641,36,215,22,4,3,524,396,1156,2,86,30,37,25,22,25,21,2707,16
5.94,5,25,16,2,26,1,1,4,89,971,43,243,14,8,3,687,455,1242,0,70,30,48,32,37,35,24,3768,18
5.99,12,28,23,1,31,1,0,9,104,1326,39,276,5,7,2,849,536,1283,2,76,31,45,22,35,38,29,5451,24
6.04,9,27,20,2,26,0,3,7,139,1942,39,317,13,10,2,1042,670,1495,1,92,22,36,16,29,47,23,7937,22
6.09,7,23,15,1,15,0,2,4,159,2588,35,324,16,5,0,1078,797,1427,0,85,24,21,30,29,37,22,10343,24
6.14,11,25,19,2,9,1,0,6,206,3266,36,348,10,6,1,1163,1058,1488,0,70,33,38,26,31,31,19,13562,22
6.19,14,30,16,1,25,3,0,11,254,4550,37,429,15,8,3,1169,1507,1766,2,89,28,27,30,35,40,21,18240,20
6.24,7,38,25,0,17,4,0,6,353,6086,37,572,7,3,1,1037,2112,1985,1,81,25,44,25,25,47,25,22658,14
6.29,15,38,18,3,24,2,1,22,399,7453,29,690,6,7,2,927,2992,2389,4,90,27,30,28,36,43,17,27762,18
6.33,8,41,14,1,18,1,2,37,542,8955,43,913,5,2,1,803,3884,2999,1,87,33,27,30,40,51,38,32301,14
6.38,14,52,21,1,17,2,1,47,672,10488,46,1145,13,7,2,694,5084,3589,1,90,37,31,24,39,50,28,36271,19
6.43,16,57,24,2,21,1,2,59,805,11829,49,1353,7,8,4,551,6096,4065,0,96,31,32,29,38,51,28,38018,9
6.48,21,93,23,2,24,3,0,75,881,12673,53,1547,17,7,1,485,7501,5002,0,93,20,35,29,32,55,27,38632,20
6.53,22,106,41,2,20,1,3,110,949,12885,44,1756,7,7,4,408,8318,5595,0,78,34,42,27,46,60,33,37038,21
6.58,25,109,21,3,31,3,3,141,905,12049,61,1872,10,6,5,440,8416,5770,0,94,29,42,26,38,62,42,33274,19
6.63,29,97,26,1,28,2,1,180,896,10953,48,1845,13,7,4,454,8187,5741,3,96,31,38,25,37,59,52,28891,17
6.68,20,107,27,3,25,2,2,189,757,9285,35,1733,19,11,4,410,7622,5325,1,93,25,48,34,28,76,51,23752,19
6.73,22,91,27,3,26,2,2,201,694,7617,45,1498,10,8,2,401,6510,4470,0,114,28,24,27,30,68,77,19397,19
6.78,22,83,28,2,32,1,3,210,512,5954,53,1213,12,7,7,424,5342,3576,1,93,31,35,37,35,63,47,15263,19
6.83,30,71,28,4,27,5,2,168,442,4744,46,961,19,7,5,414,4175,2923,4,95,27,28,33,36,49,39,12450,23
6.88,27,78,46,3,33,5,1,130,390,3778,48,831,11,8,4,314,3050,2058,2,87,34,29,29,52,49,34,10720,25
6.93,11,85,33,3,26,1,2,109,309,3336,45,679,15,8,8,285,2249,1550,0,89,39,34,25,26,55,28,9770,24
6.98,18,85,38,1,26,4,3,80,325,3129,47,658,10,8,3,271,1886,1206,0,98,41,41,33,50,36,35,9252,17
7.03,29,103,31,1,30,2,1,61,287,2927,45,626,16,10,4,210,1674,1051,1,121,70,35,24,60,42,33,9065,29
7.08,21,96,26,0,23,0,1,39,318,2823,42,653,8,7,1,220,1648,975,2,124,79,45,28,74,47,28,8581,27
7.13,17,121,39,1,24,4,0,39,343,2656,51,727,11,8,3,178,1623,960,1,147,97,45,40,79,72,27,8059,42
7.18,13,97,28,0,22,2,1,40,352,2610,51,843,14,9,8,193,1661,940,1,193,110,49,39,106,37,29,7250,42
7.23,31,113,40,4,18,5,0,27,336,2449,54,993,7,16,3,211,1639,968,1,219,158,33,38,140,53,28,6461,60
7.28,24,118,37,3,30,3,2,42,345,2190,43,1329,13,20,11,211,1529,951,3,338,204,56,60,184,55,42,5516,120
7.33,23,104,50,2,27,1,3,38,293,1903,52,1747,9,37,5,240,1364,880,0,472,298,60,57,269,85,40,4699,211
7.37,25,117,44,2,31,2,1,42,321,1495,67,2244,15,61,1,243,1246,650,5,563,348,88,70,308,48,30,3707,335
7.42,19,153,54,1,27,2,2,45,243,1173,52,2778,15,106,1,301,993,518,1,696,449,107,82,377,79,34,2782,477
7.47,17,173,77,4,32,6,2,31,235,924,68,3339,9,149,4,364,713,448,4,828,541,127,127,424,87,41,2149,733
7.52,27,205,112,7,31,5,0,52,213,697,64,3826,8,214,1,392,539,302,3,963,562,182,156,479,108,39,1799,986
